family_id	candidate_id	family_source	candidate_pool_id	source_layer
family::sra_v2_2::bigcodebench_000::wrong_precondition	sra_v2_2::bigcodebench_000::wrong_precondition::helpful	released_controlled_relation	core_all694_pool	core_audited_marked_sibling
family::sra_v2_2::bigcodebench_000::wrong_precondition	sra_v2_2::bigcodebench_000::wrong_precondition::execution_risk	released_controlled_relation	core_all694_pool	core_audited_marked_sibling
family::sra_v2_2::bigcodebench_001::wrong_resource_pointer	sra_v2_2::bigcodebench_001::wrong_resource_pointer::helpful	released_controlled_relation	core_all694_pool	core_audited_marked_sibling
family::sra_v2_2::bigcodebench_001::wrong_resource_pointer	sra_v2_2::bigcodebench_001::wrong_resource_pointer::execution_risk	released_controlled_relation	core_all694_pool	core_audited_marked_sibling
family::sra_v2_2::bigcodebench_002::wrong_precondition	sra_v2_2::bigcodebench_002::wrong_precondition::helpful	released_controlled_relation	core_all694_pool	core_audited_marked_sibling
family::sra_v2_2::bigcodebench_002::wrong_precondition	sra_v2_2::bigcodebench_002::wrong_precondition::execution_risk	released_controlled_relation	core_all694_pool	core_audited_marked_sibling
family::sra_v2_2::bigcodebench_003::wrong_resource_pointer	sra_v2_2::bigcodebench_003::wrong_resource_pointer::helpful	released_controlled_relation	core_all694_pool	core_audited_marked_sibling
family::sra_v2_2::bigcodebench_003::wrong_resource_pointer	sra_v2_2::bigcodebench_003::wrong_resource_pointer::execution_risk	released_controlled_relation	core_all694_pool	core_audited_marked_sibling
family::sra_v2_2::bigcodebench_004::wrong_resource_pointer	sra_v2_2::bigcodebench_004::wrong_resource_pointer::helpful	released_controlled_relation	core_all694_pool	core_audited_marked_sibling
family::sra_v2_2::bigcodebench_004::wrong_resource_pointer	sra_v2_2::bigcodebench_004::wrong_resource_pointer::execution_risk	released_controlled_relation	core_all694_pool	core_audited_marked_sibling
family::sra_v2_2::bigcodebench_005::wrong_resource_pointer	sra_v2_2::bigcodebench_005::wrong_resource_pointer::helpful	released_controlled_relation	core_all694_pool	core_audited_marked_sibling
family::sra_v2_2::bigcodebench_005::wrong_resource_pointer	sra_v2_2::bigcodebench_005::wrong_resource_pointer::execution_risk	released_controlled_relation	core_all694_pool	core_audited_marked_sibling
family::sra_v2_2::bigcodebench_006::wrong_resource_pointer	sra_v2_2::bigcodebench_006::wrong_resource_pointer::helpful	released_controlled_relation	core_all694_pool	core_audited_marked_sibling
family::sra_v2_2::bigcodebench_006::wrong_resource_pointer	sra_v2_2::bigcodebench_006::wrong_resource_pointer::execution_risk	released_controlled_relation	core_all694_pool	core_audited_marked_sibling
family::sra_v2_2::bigcodebench_007::wrong_resource_pointer	sra_v2_2::bigcodebench_007::wrong_resource_pointer::helpful	released_controlled_relation	core_all694_pool	core_audited_marked_sibling
family::sra_v2_2::bigcodebench_007::wrong_resource_pointer	sra_v2_2::bigcodebench_007::wrong_resource_pointer::execution_risk	released_controlled_relation	core_all694_pool	core_audited_marked_sibling
family::sra_v2_2::bigcodebench_008::wrong_resource_pointer	sra_v2_2::bigcodebench_008::wrong_resource_pointer::helpful	released_controlled_relation	core_all694_pool	core_audited_marked_sibling
family::sra_v2_2::bigcodebench_008::wrong_resource_pointer	sra_v2_2::bigcodebench_008::wrong_resource_pointer::execution_risk	released_controlled_relation	core_all694_pool	core_audited_marked_sibling
family::sra_v2_2::bigcodebench_009::wrong_resource_pointer	sra_v2_2::bigcodebench_009::wrong_resource_pointer::helpful	released_controlled_relation	core_all694_pool	core_audited_marked_sibling
family::sra_v2_2::bigcodebench_009::wrong_resource_pointer	sra_v2_2::bigcodebench_009::wrong_resource_pointer::execution_risk	released_controlled_relation	core_all694_pool	core_audited_marked_sibling
family::sra_v2_2::bigcodebench_010::wrong_resource_pointer	sra_v2_2::bigcodebench_010::wrong_resource_pointer::helpful	released_controlled_relation	core_all694_pool	core_audited_marked_sibling
family::sra_v2_2::bigcodebench_010::wrong_resource_pointer	sra_v2_2::bigcodebench_010::wrong_resource_pointer::execution_risk	released_controlled_relation	core_all694_pool	core_audited_marked_sibling
family::sra_v2_2::bigcodebench_011::wrong_resource_pointer	sra_v2_2::bigcodebench_011::wrong_resource_pointer::helpful	released_controlled_relation	core_all694_pool	core_audited_marked_sibling
family::sra_v2_2::bigcodebench_011::wrong_resource_pointer	sra_v2_2::bigcodebench_011::wrong_resource_pointer::execution_risk	released_controlled_relation	core_all694_pool	core_audited_marked_sibling
family::sra_v2_2::bigcodebench_012::wrong_resource_pointer	sra_v2_2::bigcodebench_012::wrong_resource_pointer::helpful	released_controlled_relation	core_all694_pool	core_audited_marked_sibling
