method_id	query_case_id	candidate_pool_id	rank	candidate_id	score	candidate_role
r3_skill_embedding_reranker	core::sra_v2_2::bigcodebench_000::wrong_precondition::q1	core_all694_pool	1	sra_v2_2::bigcodebench_000::wrong_precondition::helpful	1.0560264587402344	helpful
r3_skill_embedding_reranker	core::sra_v2_2::bigcodebench_000::wrong_precondition::q1	core_all694_pool	2	sra_v2_2::bigcodebench_000::wrong_precondition::execution_risk	1.045811653137207	risk
r3_skill_embedding_reranker	core::sra_v2_2::bigcodebench_000::wrong_precondition::q1	core_all694_pool	3	sra_v2_2::bigcodebench_017::wrong_precondition::helpful	0.9297428131103516	unlabeled_candidate
r3_skill_embedding_reranker	core::sra_v2_2::bigcodebench_000::wrong_precondition::q1	core_all694_pool	4	sra_v2_2::bigcodebench_017::wrong_precondition::execution_risk	0.9103231430053711	unlabeled_candidate
r3_skill_embedding_reranker	core::sra_v2_2::bigcodebench_000::wrong_precondition::q1	core_all694_pool	5	sra_v2_2::bigcodebench_046::wrong_resource_pointer::helpful	-0.7325963973999023	unlabeled_candidate
r3_skill_embedding_reranker	core::sra_v2_2::bigcodebench_000::wrong_precondition::q1	core_all694_pool	6	sra_v2_2::bigcodebench_137::wrong_resource_pointer::helpful	-0.9349279403686523	unlabeled_candidate
r3_skill_embedding_reranker	core::sra_v2_2::bigcodebench_000::wrong_precondition::q1	core_all694_pool	7	sra_v2_2::bigcodebench_084::wrong_resource_pointer::execution_risk	-1.2338066101074219	unlabeled_candidate
r3_skill_embedding_reranker	core::sra_v2_2::bigcodebench_000::wrong_precondition::q1	core_all694_pool	8	sra_v2_2::bigcodebench_058::wrong_resource_pointer::execution_risk	-1.2600278854370117	unlabeled_candidate
r3_skill_embedding_reranker	core::sra_v2_2::bigcodebench_000::wrong_precondition::q1	core_all694_pool	9	sra_v2_2::bigcodebench_058::wrong_resource_pointer::helpful	-1.3036117553710938	unlabeled_candidate
r3_skill_embedding_reranker	core::sra_v2_2::bigcodebench_000::wrong_precondition::q1	core_all694_pool	10	sra_v2_2::bigcodebench_079::wrong_resource_pointer::helpful	-1.4778079986572266	unlabeled_candidate
r3_skill_embedding_reranker	core::sra_v2_2::bigcodebench_000::wrong_precondition::q1	core_all694_pool	11	sra_v2_2::bigcodebench_079::wrong_resource_pointer::execution_risk	-1.5783357620239258	unlabeled_candidate
r3_skill_embedding_reranker	core::sra_v2_2::bigcodebench_000::wrong_precondition::q1	core_all694_pool	12	skillret::89d4b43d-d8a0-41f4-aa3b-50d8cf80811e	-1.623551368713379	unlabeled_candidate
