family_source	stratum	query_case_id	recall_at_3	hsr_at_3	ndcg_at_3	cleanhit_at_3
controlled_relation	core_marked_sibling	core::skillsbench_v2_2::3d-scan-calc::wrong_resource_pointer::q1	1.0	0.0	1.0	1.0
controlled_relation	core_marked_sibling	core::skillsbench_v2_2::ada-bathroom-plan-repair::wrong_resource_pointer::q1	1.0	0.0	1.0	1.0
controlled_relation	core_marked_sibling	core::skillsbench_v2_2::civ6-adjacency-optimizer::wrong_resource_pointer::q1	1.0	0.0	1.0	1.0
controlled_relation	core_marked_sibling	core::skillsbench_v2_2::court-form-filling::wrong_resource_pointer::q1	0.0	0.0	0.0	0.0
controlled_relation	core_marked_sibling	core::skillsbench_v2_2::crystallographic-wyckoff-position-analysis::stale_api_reference::q1	0.0	0.0	0.0	0.0
controlled_relation	core_marked_sibling	core::skillsbench_v2_2::dapt-intrusion-detection::wrong_resource_pointer::q1	1.0	0.0	1.0	1.0
controlled_relation	core_marked_sibling	core::skillsbench_v2_2::econ-detrending-correlation::wrong_resource_pointer::q1	1.0	0.0	1.0	1.0
controlled_relation	core_marked_sibling	core::skillsbench_v2_2::edit-pdf::wrong_resource_pointer::q1	1.0	0.0	1.0	1.0
controlled_relation	core_marked_sibling	core::skillsbench_v2_2::enterprise-information-search::wrong_resource_pointer::q1	0.0	0.0	0.0	0.0
controlled_relation	core_marked_sibling	core::skillsbench_v2_2::exceltable-in-ppt::wrong_resource_pointer::q1	1.0	0.0	0.5	1.0
controlled_relation	core_marked_sibling	core::skillsbench_v2_2::financial-modeling-qa::wrong_resource_pointer::q1	0.0	0.0	0.0	0.0
controlled_relation	core_marked_sibling	core::skillsbench_v2_2::flood-risk-analysis::wrong_precondition::q1	1.0	0.0	1.0	1.0
controlled_relation	core_marked_sibling	core::skillsbench_v2_2::invoice-fraud-detection::wrong_resource_pointer::q1	0.0	0.0	0.0	0.0
controlled_relation	core_marked_sibling	core::skillsbench_v2_2::lab-unit-harmonization::wrong_resource_pointer::q1	1.0	0.0	1.0	1.0
controlled_relation	core_marked_sibling	core::skillsbench_v2_2::lake-warming-attribution::wrong_resource_pointer::q1	1.0	0.0	1.0	1.0
